user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,max_RAM,user_time
Mathlover,0,0.00,0.00,84,0,C++,78,0,0,0,0,4,0,0,38488,-,2624,0.00
MaxPlus314,0,0.00,0.00,63,0,C++,53,0,0,0,0,0,0,0,53304,-,2620,0.00
Mikester95,0,0.00,0.00,161,0,C++,113,0,0,0,0,0,0,0,95008,-,2412,0.00
Milanin,0,7.42,0.00,106,0,C++,105,0,0,0,0,0,0,0,75976,-,5536,7.41
Muali,-,-,-,122,-,C++,91,-,1,-,-1,2,-,-,-,-,-,-
Mukmukk,0,0.00,0.00,42,0,C++,300,0,0,0,0,85,0,0,44736,-,2488,0.00
NALP,0,0.14,0.00,247,0,C++,179,0,0,0,0,2,0,0,72880,-,5684,0.14
NGG,0,0.04,0.00,2,0,Python,28,8,0,0,0,1,0,0,1079,2.7,6552,0.03
Na2a,0,0.04,0.00,15,0,C++,97,0,0,0,0,2,0,0,55912,-,2844,0.04
NateRiverxkh,-,-,-,10,-,C++,86,-,0,-,-15,0,-,-,38520,-,-,-
Nerevar,0,0.00,0.00,38,0,C++,160,0,0,0,0,0,0,0,98152,-,2588,0.00
Noobgam,0,0.04,0.00,103,0,C++,92,0,0,0,0,2,0,0,74232,-,2916,0.04
NuM,0,0.00,0.00,92,0,C++,79,0,1,0,127,0,0,0,-,-,1396,0.00
OmarHashim,0,0.00,0.00,167,0,C++,149,0,0,0,0,0,0,0,69296,-,2420,0.00
Orpinexyw,-,-,-,6,-,C++,69,-,1,-,-1,1,-,-,-,-,-,-
Ouroboros,0,0.24,0.00,30,0,C++,139,0,0,0,0,4,0,0,88560,-,3116,0.24
PaulJefferys,-,-,-,33,-,C++,105,-,1,-,-1,0,-,-,-,-,-,-
PavelKunyavskiy,0,0.00,0.00,209,0,C++,148,0,0,0,0,1,0,0,92664,-,2224,0.00
PavelSavchenkov,0,6.59,0.00,40,0,C++,219,0,0,0,0,3,0,0,94536,-,3120,6.58
Phil217,-,-,-,28,-,Java,198,-,0,-,-1,19,-,-,3492,-,-,-
Poldnev,0,0.00,0.00,91,0,C++,91,0,0,0,134,1,0,0,78984,-,2636,0.00
Polygonian,-,-,-,14,-,C++,126,-,1,-,-1,9,-,-,-,-,-,-
Prime21,0,0.00,0.00,22,0,C++,178,0,0,0,0,0,0,0,43360,-,2560,0.00
ProjectYoung,0,0.04,0.00,6,0,Java,71,0,1,0,1,0,64,0,2515,-,21692,0.04
PurpleHeart,0,0.06,0.00,6,0,C++,52,0,0,0,0,0,0,0,39664,-,3576,0.06
QuickBrownFox,0,0.06,0.00,14,0,C++,112,0,0,0,0,0,0,0,70920,-,2916,0.06
Qwaz,-,-,-,111,-,C++,72,-,1,-,-1,0,-,-,-,-,-,-
Ra16bit,0,0.00,0.00,41,0,C++,41,0,0,0,0,0,0,0,52200,-,2672,0.00
Ragnar,0,0.17,0.00,15,0,C++,99,0,0,0,0,1,0,0,105024,-,3524,0.16
Raynald,0,0.05,0.00,4,0,C++,63,0,0,0,0,2,0,0,51208,-,2680,0.05
RiaD,-,-,-,79,-,C++,322,-,1,-,-1,20,-,-,-,-,-,-
Ringod,0,0.15,0.00,7,0,C++,67,0,0,0,0,0,0,0,99856,-,2688,0.07
RomaWhite,0,0.00,0.00,15,0,C++,111,0,0,0,0,3,0,0,56864,-,2632,0.00
Romka,0,0.04,0.00,11,0,C++,72,0,0,0,0,0,0,0,66920,-,2952,0.03
Ronnoc,0,0.22,0.00,0,0,C++,87,0,0,0,0,0,0,0,39472,-,18628,0.21
