user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,compile_error_msg,run_error_msg,max_RAM,user_time
johnathan79717,-,-,-,7,-,C++,101,-,0,-,-15,0,-,-,19768,-,-,Timeout,-,-
johnchen902,0,0.11,0.00,5,0,C++,43,0,0,0,0,0,0,0,8088,-,-,-,2264,0.05
johny42,0,0.07,0.00,9,0,C++,38,0,0,0,0,1,0,0,10128,-,-,-,2528,0.04
joisino,0,0.08,0.00,14,0,C++,37,0,0,0,0,1,0,0,9832,-,-,-,2732,0.04
jonis,0,0.10,0.00,4,0,C++,43,0,0,0,0,0,0,0,10168,-,-,-,2452,0.05
josegpg,0,0.05,0.00,11,0,C++,71,0,0,0,0,3,0,0,9144,-,-,-,2736,0.05
jpwang,-,-,-,8,-,C++,43,-,0,-,-15,0,-,-,9768,-,-,Timeout,-,-
jtc172,0,0.00,0.00,9,0,C++,62,0,0,0,0,0,0,0,9984,-,-,-,2500,0.00
jteosw,0,0.39,0.01,5,0,Java,61,0,0,0,0,3,72,0,1654,-,-,-,62200,0.37
jtidor,-,-,-,3,-,Python,30,-,0,-,-15,0,-,-,1878,2.7,-,Timeout,-,-
juanplopes2,0,0.12,0.00,7,0,C++,42,0,0,0,0,3,0,0,10328,-,-,-,2576,0.06
juniloydatta,-,-,-,3,-,C++,49,-,0,-,-15,0,-,-,25440,-,-,Timeout,-,-
juniorandrade,0,0.09,0.00,15,0,C++,71,0,0,0,0,3,0,0,10968,-,-,-,2688,0.04
justever86,0,0.00,0.00,14,0,C++,110,0,1,0,127,0,0,0,-,-,Unknown error,Command not found,1420,0.00
jxwuyi,0,0.00,0.00,7,0,C++,55,0,0,0,0,1,0,0,10192,-,-,-,2508,0.00
jyhuang,0,0.08,0.00,5,0,C++,38,0,0,0,0,1,0,0,7600,-,-,-,2240,0.04
jz5003,0,0.11,0.00,1,0,C++,63,0,0,0,0,2,8,0,10344,-,-,-,2596,0.05
ka4tik,0,0.05,0.00,15,0,Java,100,0,0,0,1,7,72,0,1625,-,-,java.lang.NullPointerException,25436,0.04
kadalbonek,0,0.11,0.00,5,0,C++,39,0,0,0,0,0,0,0,9984,-,-,-,2644,0.05
kamelzcs,0,0.00,0.00,9,0,C++,55,0,1,0,127,10,0,0,-,-,Unknown error,Command not found,1328,0.00
kappahouse,0,0.25,0.00,7,0,C++,54,0,0,0,0,1,0,0,33048,-,-,-,2348,0.12
kawasaki,0,0.32,0.00,5,0,Python,31,8,0,0,0,1,0,0,1099,2.7,-,-,6632,0.32
kazunetakahashi,0,0.09,0.00,6,0,C++,57,0,0,0,0,6,0,0,21552,-,-,-,2596,0.07
kcd,0,0.11,0.00,12,0,C++,76,0,0,0,0,0,0,0,17760,-,-,-,2612,0.05
kcm1700,-,-,-,2,-,C++,54,-,1,-,-1,0,-,-,-,-,not declared,-,-,-
kelym,0,0.00,0.00,1,0,C++,62,0,0,0,0,0,0,0,9680,-,-,-,2612,0.00
kenimo,0,0.10,0.00,6,0,C++,75,0,0,0,0,1,0,0,10104,-,-,-,2448,0.04
kenning9,0,0.08,0.00,0,0,C++,39,0,0,0,0,0,0,0,23208,-,-,-,2700,0.04
kenta826,0,0.04,0.00,27,0,Java,77,0,0,0,1,4,72,0,2232,-,-,java.io.FileNotFoundException:,23784,0.04
kerker,0,0.18,0.00,4,0,C++,49,0,0,0,0,1,0,0,17160,-,-,-,2344,0.08
kevinptt,0,0.08,0.00,9,0,C++,37,0,0,0,0,35,0,0,21616,-,-,-,2636,0.04
kevinsogo,0,3.67,0.00,2,0,Python,26,8,0,0,0,1,0,0,1287,2.7,-,-,6888,3.66
kevinyu,0,0.16,0.00,8,0,C++,61,0,0,0,0,0,0,0,10144,-,-,-,2636,0.07
khayyam,0,0.10,0.00,6,0,C++,52,0,0,0,0,0,0,0,7808,-,-,-,2360,0.04
killz,0,0.00,0.00,8,0,C++,67,0,1,0,127,0,0,0,-,-,Unknown error,Command not found,1376,0.00
kimikel,0,0.18,0.00,14,0,C++,52,0,0,0,0,4,0,0,9912,-,-,-,2496,0.09
kimiyuki,0,0.09,0.00,0,0,C++,81,0,0,0,0,1,0,0,51328,-,-,-,2496,0.08
kingo,0,0.00,0.00,7,0,C++,57,0,1,0,127,0,0,0,-,-,Unknown error,Command not found,1404,0.00
kingpig9,0,0.11,0.00,7,0,C++,55,0,0,0,0,4,0,0,11064,-,-,-,2732,0.05
kingroy,0,1.23,0.00,4,0,Python,38,8,0,0,0,1,0,0,1422,2.7,-,-,6912,1.23
kinodjnz,0,0.15,0.00,4,0,C++,56,0,0,0,0,0,0,0,21960,-,-,-,2480,0.07
kirik13,0,0.04,0.01,45,0,Java,226,0,0,0,1,0,72,0,2901,-,-,java.io.FileNotFoundException:,23868,0.02
kivus,0,0.04,0.00,17,0,Java,83,0,0,0,0,7,72,0,2442,-,-,-,23876,0.04
klolos,0,0.93,0.00,11,0,Python,42,8,0,0,0,1,0,0,2346,2.7,-,-,6804,0.93
kmjp,0,0.13,0.00,16,0,C++,54,0,0,0,0,1,0,0,11280,-,-,-,2636,0.06
kmod,0,0.56,0.00,8,0,Python,40,8,0,0,0,4,0,0,1295,2.7,-,-,6452,0.54
kmxyvbcn,0,0.09,0.00,4,0,C++,37,0,0,0,0,2,0,0,7840,-,-,-,2348,0.04
knabbers,-,-,-,12,-,Python,39,-,0,-,1,2,-,-,1477,2.7,-,File or Dir not found,-,-
knah,0,0.00,0.00,13,0,C++,66,0,1,0,127,4,0,0,-,-,Unknown error,Command not found,1364,0.00
kobra,0,0.00,0.00,10,0,C++,79,0,0,0,0,1,0,0,22264,-,-,-,2488,0.00
kogyblack,0,0.86,0.00,14,0,C++,53,0,0,0,0,11,0,0,44760,-,-,-,3216,0.65
koinichi,0,0.00,0.00,13,0,C++,58,0,0,0,0,0,0,0,20280,-,-,-,2236,0.00
kojingharang,0,0.12,0.00,7,0,C++,85,0,0,0,0,1,0,0,17928,-,-,-,2480,0.07
kolina,0,0.00,0.00,2,0,C++,64,0,0,0,134,0,0,0,25352,-,-,underflow error reading the file,2640,0.00
kongbomb,-,-,-,13,-,Java,57,-,1,-,-1,0,-,-,-,-,package does not exist,-,-,-
koosaga,0,0.00,0.00,4,0,C++,46,0,0,0,0,0,0,0,8328,-,-,-,2220,0.00
kormyshov,-,-,-,36,-,C++,171,-,1,-,-1,29,-,-,-,-,Unknown error,-,-,-
