user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
nichehole,-,-,-,2,C++,-,35,-,0,-,-,-1,2,-,-,9240,-,-,-,-
nicklebedev,-,-,-,73,C++,-,49,-,1,-,-,-1,0,-,-,-,not declared,-,-,-
nicoelrulo,-,-,-,40,C++,-,34,-,0,-,-,-1,0,-,-,10328,-,-,-,-
nikkitousen,-,-,-,13,C++,-,64,-,0,-,-,-1,2,-,-,23112,-,-,-,-
nikolaev,0,0.00,0.00,48,C++,-,37,24,0,0,0,0,4,0,0,11024,-,-,2372,0.00
nikouni,-,-,-,135,C++,-,89,-,0,-,-,-1,0,-,-,30936,-,-,-,-
nimloth,-,-,-,83,C++,-,70,-,0,-,-,-1,2,-,-,11336,-,-,-,-
ninda029,0,0.03,0.00,95,C++,-,82,24,0,0,0,0,0,0,0,9816,-,-,3688,0.02
nip,0,0.97,0.00,3,Python,2.7,19,8,0,0,0,0,1,0,0,732,-,-,8428,0.96
nisshy,0,0.17,0.01,14,C++,-,77,64,0,0,0,0,0,0,0,30352,-,-,15976,0.16
nkazuki,0,0.04,0.00,17,Java,-,129,0,0,0,0,1,6,72,0,2497,-,java.lang.IllegalStateException:,24052,0.04
nktaushanov,0,0.05,0.00,10,C++,-,45,24,0,0,0,0,8,0,0,9792,-,-,3584,0.04
nmas,-,-,-,141,C++,-,108,-,1,-,-,-1,0,-,-,-,not declared,-,-,-
nocLyt,-,-,-,10,C++,-,119,-,0,-,-,-1,8,-,-,10192,-,-,-,-
noes,-,-,-,67,C++,-,34,-,0,-,-,-1,0,-,-,9304,-,-,-,-
nomadoro,0,0.20,0.00,9,C++,-,51,56,0,0,0,0,14,0,0,26728,-,-,4292,0.19
noriok,0,0.94,0.00,11,Python,2.7,28,8,0,0,0,0,4,0,0,1299,-,-,8320,0.93
notbad,0,0.14,0.00,6,C++,-,64,24,0,0,0,0,16,0,0,11304,-,-,4268,0.14
notmichael,0,0.41,0.02,3,Java,-,55,0,0,0,0,0,0,72,0,2139,-,-,104416,0.43
npinsker,0,0.06,0.00,9,C++,-,37,24,0,0,0,0,0,0,0,9400,-,-,5344,0.06
nsv,-,-,-,155,C++,-,110,-,0,-,-,-1,4,-,-,21008,-,-,-,-
nurzhands,-,-,-,81,C++,-,60,-,0,-,-,-1,3,-,-,9816,-,-,-,-
nvijay,0,0.20,0.00,8,C++,-,71,72,0,0,0,0,5,0,1,35080,-,-,14844,0.20
nweatherburn,-,-,-,5,Java,-,37,-,0,-,-,-15,6,-,-,1598,-,Timeout,-,-
nwin,0,0.44,0.01,0,Python,2.7,19,8,0,0,0,0,0,0,0,785,-,-,8168,0.42
oGhost,0,0.00,0.00,49,C++,-,45,24,0,0,0,0,0,0,0,9792,-,-,2596,0.00
oatawa1,0,0.01,0.01,41,C++,-,61,24,0,0,0,0,12,0,0,10376,-,-,2580,0.00
