user_id,syatem_time,wall_clock,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,max_RAM,user_time
kitkatac,0.00,0.00,1,0,C++,-,44,0,0,0,0,0,2,0,0,2736,0.00
staybijective,0.00,0.00,15,0,C++,-,57,0,0,0,0,0,5,0,0,2644,0.00
OM9,-,-,2,-,C++,-,20,-,-1,-,-,-1,2,-,-,-,-
Taehyun,0.00,0.00,0,0,C++,-,64,0,0,0,0,0,0,0,0,2352,0.00
nyanshell,0.00,0.01,3,0,Python,3.5,35,0,2,0,0,2,4,0,0,7228,0.00
FatMinMin,-,-,5,-,java,-,80,-,-1,-,-,-1,7,-,-,-,-
ody42,0.00,0.00,10,0,Python,2.7,38,8,0,0,0,0,0,0,0,6648,0.00
MadHatter,0.00,0.00,5,0,Python,2.7,30,8,0,0,0,0,0,0,0,6632,0.00
Biskup,-,-,7,-,C#,System.Numerics,79,-,-1,-,-,-1,0,-,-,-,-
Punyaslok,0.00,0.00,15,0,C++,-,72,0,0,0,0,0,7,0,0,2604,0.00
shjgkwo,0.00,0.01,2,0,C++,-,98,0,0,0,0,0,0,816,0,2440,0.00
jakobjjk,0.00,0.01,8,0,C#,System.Numerics,112,0,2,0,0,2,0,0,0,12096,0.00
ParanoidAndroid96,0.00,0.00,6,0,C++,-,84,0,134,0,0,134,2,0,0,2500,0.00
bidoo,4.02,8.70,1,0,C++,-,61,0,0,0,0,0,0,129064,0,2540,4.68
Samarth261,0.00,0.00,11,0,C,-,70,0,139,0,0,139,0,0,0,1956,0.00
pwecar,-,-,8,-,C++,-,61,-,-15,-,-,-15,6,-,-,-,-
jarnault,0.00,0.04,13,0,java,-,91,0,1,0,0,1,0,64,0,21564,0.04
MehrunesArtem,0.00,0.00,5,0,C++,-,89,0,0,0,0,0,4,0,0,2576,0.00
AlwaysHungry,0.00,0.00,16,0,C++,-,66,0,0,0,0,0,1,0,0,2512,0.00
SavinovAlex,-,-,18,-,C++,-,107,-,-1,-,-,-1,0,-,-,-,-
MSPA,0.00,0.00,7,0,C++,-,47,0,0,0,0,0,0,0,0,2532,0.00
Magr95,0.00,0.00,2,0,C++,-,54,0,0,0,0,0,0,0,0,2384,0.00
drecouse,0.00,0.00,4,0,C++,-,71,0,0,0,0,0,1,0,0,2484,0.00
idealistos,-,-,6,-,Python,2.7,53,-,1,-,-,1,0,-,-,-,-
