user_id,penalty,points
logicmachine,4793,63
kmatsunaga,4915,16
Dpsipher,3261,6
geohot,9456,34
nyama.gg,8781,27
Almog,8006,27
smileking,6519,16
Shashank27,6412,10
Neowang813,7073,21
Azrle,8171,45
darnley,6552,100
cfb3,7469,21
rotsor,8791,63
twentynine,3643,10
Klinck,3833,27
ichyo,4501,27
n3jc,3968,6
wbc91,8661,21
KenjiH,3106,27
B.PENG,9207,10
qwaker.00,8267,100
abiczo,6317,63
Roybott,5306,21
kyuridenamida,5069,27
DoC,4097,6
ia0,7610,21
cuiwei,4929,16
NAFIS,7191,21
dark4ai,8407,27
superjoe,4735,6
yuta1024,6274,27
thed0okie,5493,27
PhD,6575,27
valachedi,5647,6
Nicolas16,9279,57
Caiych,4618,27
AndreySiunov,4360,27
simsa.st,9551,63
PuppJ,8697,16
MikeMoon,3362,10
multisystem,5062,6
Larik,7531,21
fcjy,9585,63
CaptainAhmadi,8643,63
SmartQuark,6893,21
theabhishek,7971,27
Antagonist,9761,27
snorlax0217,5898,10
MLK,4860,10
AshBringer,5854,21
Ratmir15,7374,27
berx,7379,27
t.ima,7792,16
Akim,2092,27
fd88ar,4235,27
Lwins.,2599,27
tgoulart,8042,63
Mr.Cat,9006,79
axt,9192,21
smt23,6562,10
geniusjazz,4519,21
Rily,5448,21
castillochaves,6558,43
oldjunyi,3694,63
PNG,6379,16
DroL,4524,16
nithishify,3723,21
musouka,4368,10
pankdm,3150,27
salt,4463,21
partisan,6194,21
seanwu,7634,63
jstwo,10120,16
ajeygsi,8000,16
jcye,8316,16
kareth,8274,57
Cypi,7195,27
zbwmqlw,8513,45
lilymona,5884,27
victorsavu3,3657,6
g.d.d.c,4336,6
sharat1105,7597,27
sergio3010,7516,45
kyou,10307,27
McFreeze,4149,10
fent,2457,21
lipids,7961,10
Solar,7446,21
od3d,11362,21
Henry2012,7780,27
sainte,5542,10
ryan.ersland,7258,36
paramecinm,8002,63
svick,9105,57
emppu,7637,63
weterbeing,5527,21
MikelTheProgrammer,9368,64
bcurcio,8853,63
gibbed,2120,6
wo...,4418,27
georg,5385,6
Turi,4866,27
ged,8715,63
mikemir8,5801,10
blegat,3444,21
zarhane,8907,16
Amir,7889,21
windseeker,8810,21
juliuswwj,9474,46
hirak99,4029,21
Jokser,6101,63
Felix,4443,63
YYAR,6607,16
tanin47,7048,27
ariacas,1692,27
techsam2k8,5484,10
cxygrace,9099,45
whoami,6824,63
userresu,6989,27
deepangupta91,6671,27
chenwang0517,4602,63
Xenocide,6587,63
hamstahguru,3756,6
amtematem,7353,21
Mcquay,7535,27
hirano.y.aa,7722,52
zaphod,7938,16
cometdragon,2227,6
Landertxu,4981,63
pdalbora,7177,21
peso,3421,21
diver,8306,63
Sniper,2461,27
fabrizyo,7487,21
madxmad,3967,6
tsubu,4967,21
...Johniel,7724,10
LDS,7520,27
outside,3640,27
ytj,7410,63
jth,8778,27
gaooosss,6632,27
FFFFF,9290,46
amashrabov,3786,27
soumyab,8596,27
chuanren,3149,10
eddie.von.becehem,7112,27
nanikaka,8776,63
ibra,4632,27
kshcoder,3897,10
zhi,7920,27
DenRaskovalov,10518,27
pinpin,5053,27
vegesm,4518,21
como,6475,27
sirnodin,8573,36
liymouse,7223,52
mkoijn,5275,27
dabaopku,6930,27
HenryLau,4706,43
ChamChi,7207,27
pychen,8240,45
diskhack,4343,10
Abhineet,4770,10
ndduy95,9639,10
lshmouse,4940,27
Psilocybe,4844,27
Tenyoku,8167,21
CrazyGenius,7857,10
ILove47,8001,16
ooo,8300,27
SuprDewd,1871,6
kuldeepguptacse09,6098,16
takluyver,6694,64
dotnetcoder,7412,45
piotr.kukla,8563,57
waterkid,4393,27
stopit99,5539,27
azneye,4135,16
tsuyo,4434,21
DNNX,6760,27
greedee,4881,27
Hodduc,4405,63
sune2,8841,100
sblom.,8478,27
arty,3693,10
Haffi,5271,21
Verum,3915,6
DoDoHushHush,5137,27
mikimi,5410,27
igorfr,4846,27
cakewalk,7160,21
nims11,4383,10
erikhallberg,5490,10
charango,8986,52
Gerald.,6409,63
cairomassimo,3851,10
cosminC79,4398,21
SAS,4569,16
haijide,6629,10
Jani99,5168,10
Ctronc,9355,16
yzm,4565,27
those,8791,63
GarrettHall,8089,36
Vart,3352,27
matt42,8472,21
nyama,6272,27
liquid.amber.ja,6060,27
teleport,6168,10
music960633,6144,16
TomHsu1990,9114,21
relic,4766,27
chenyang,6434,21
alexcazacu,7106,27
prekageo,5992,27
omnomnom,2449,6
jabagawee.,5818,16
Florian,3204,6
XiaoPan,6592,10
NoxAndry,4590,27
romanova,4482,27
Ripatti,6483,64
doctor,5314,21
dut200901102,6126,63
narri,5477,64
